㐀	~[FFE;][RE;][REE;][YZE;]
㔌	~[RUPR;][RUQR;]
㔍	~[ZMRR;]
㔎	~[EBLD;][EPBD;]
㔏	~[LOLR;]
㔐	~[ZERR;]
㔑	~[RPBD;]
㔒	~[EVNR;]
㔓	~[GDX;][GDY;]
㔔	~[DOO;]
㔕	~[KDX;][KDY;]
㔖	~[DOY;]
㔗	~[VDX;][VDY;]
㔘	~[EED;][EUD;]
㔙	~[BKD;]
㔚	~[GOD;]
㔛	~[YOD;]
㔜	~[EZD;]
㔝	~[EBD;][ENBD;][TNBD;]
㔞	~[GFFD;]
㔟	~[SKAD;][SZD;]
㔠	~[DDX;][DDY;][DNBD;][DNLD;]
㔡	~[POXD;]
㔢	~[SDCD;][SNCD;]
㔣	~[QQQD;]
㔤	~[NMQD;]
㔥	~[FUD;][FUUD;]
㔦	~[BKBD;][BKXD;]
㔧	~[ZQFD;]
㔨	~[NFFU;]
㔩	~[NCE;][NYUF;]
㔪	~[NZOA;][NZOF;][NZOX;]
㔫	~[KPP;][XFL;]
㔬	~[FDJ;]
㔭	~[FDEZ;][FJN;]
㔮	~[RCU;][RCUF;]
㔯	~[FBO;]
㔰	~[FCP;]
㔱	~[FGB;]
㔲	~[FXK;]
㔳	~[FXR;]
㔴	~[FQRB;]
㔵	~[FFLB;][FOLB;]
㔶	~[FLDB;][FLDQ;]
㔷	~[FEN;][FENB;][FTNB;]
㔸	~[FLZR;]
㔹	~[JDX;][JDY;]
㔺	~[JCJ;][JRL;]
㔻	~[BJJ;]
㔼	~[JVJ;]
㔽	~[ZOH;][ZOO;]
㔾	~[,PL;][PL;]
㔿	~[,EG;][,FI;][DI;][EGI;][FII;]
㕀	~[IQP;]
㕁	~[XXUP;]
㕂	~[LAY;]
㕃	~[LKJ;]
㕄	~[FWA;][LEW;]
㕅	~[LQI;]
㕆	~[KOO;][LJO;]
㕇	~[LLE;]
㕈	~[LLK;]
㕉	~[LAO;]
㕊	~[LAJQ;][LIJ;]
㕋	~[LAE;]
㕌	~[LDA;][LDEA;][LDUA;]
㕍	~[LVE;]
㕎	~[LCE;][LYUF;]
㕏	~[LDD;]
㕐	~[LGNF;]
㕑	~[LYDA;]
㕒	~[LBKI;][LBX;]
㕓	~[LQFY;]
㕔	~[LRKH;][LRKJ;]
㕕	~[,UU;][UUA;]
㕖	~[UUUT;]
㕗	~[BHBU;][BHUU;][BKNU;][BKPU;]
㕘	~[USA;][UUUS;]
㕙	~[HDCA;][HEA;][HNCA;][HNCR;][UBPA;][URPA;]
㕚	~[UAA;][UBA;][UBX;]
㕛	~[UUX;]
㕜	~[CUX;]
㕝	~[JOU;]
㕞	~[CNU;]
㕟	~[ZMU;][ZNRU;]
㕠	~[BVU;]
㕡	~[ZNBU;][ZNEU;][ZNWU;]
㕢	~[ZNEU;][ZNMU;]
㕣	~[BOO;]
㕤	~[OKL;][OKX;][OKZ;]
㕥	~[OBN;]
㕦	~[ODN;]
㕧	~[OCP;]
㕨	~[ORA;]
㕩	~[OFJ;]
㕪	~[OKL;][ONR;]
㕫	~[OFY;]
㕬	~[OBU;]
㕭	~[OED;][OGN;][OPD;]
㕮	~[OBX;]
㕯	~[BNO;][NBO;]
㕰	~[OML;]
㕱	~[OAK;]
㕲	~[OTN;]
㕳	~[OUX;][OXU;]
㕴	~[ONR;]
㕵	~[OKE;]
㕶	~[OWE;]
㕷	~[OPD;]
㕸	~[OLE;]
㕹	~[OAX;][OAXU;][OAXX;]
㕺	~[OK;][OOK;]
㕻	~[ABO;][LSO;]
㕼	~[ONLX;][ONXL;]
㕽	~[OUA;][OUB;]
㕾	~[SOF;]
㕿	~[HOO;]
㖀	~[OEI;][OEJ;]
㖁	~[OXXU;]
㖂	~[OIQX;][OIX;]
㖃	~[OAO;][OFO;]
㖄	~[OYYY;]
㖅	~[OAQA;][OAQE;][OAQV;]
㖆	~[OFO;][OROR;]
㖇	~[ORI;][OTNR;]
㖈	~[YPFO;]
㖉	~[OBZ;]
㖊	~[OEA;]
㖋	~[BROF;]
㖌	~[PKOF;]
㖍	~[DOF;]
㖎	~[OFBR;]
㖏	~[ODY;]
㖐	~[OOE;]
㖑	~[OAQR;]
㖒	~[OBQP;][OTP;]
㖓	~[OPF;]
㖔	~[OEDO;][OGNO;][OPDO;]
㖕	~[OLJ;]
㖖	~[LOO;]
㖗	~[OEAY;]
㖘	~[OFK;]
㖙	~[DOOF;]
㖚	~[PAOF;]
㖛	~[JOOF;]
㖜	~[LOF;][LOOF;]
㖝	~[QBOF;][YSOF;]
㖞	~[OONB;]
㖟	~[OENU;]
㖠	~[ODRS;]
㖡	~[OLPU;][OLX;]
㖢	~[OLZF;]
㖣	~[OLO;]
㖤	~[OKBU;][OWBU;][OWU;]
㖥	~[OOH;]
㖦	~[OCS;][OJQS;]
㖧	~[OXD;]
㖨	~[OCEW;][OEW;]
㖩	~[ORU;]
㖪	~[OAQE;][OHE;]
㖫	~[OYBP;][OYRP;][OYX;]
㖬	~[OGU;]
㖭	~[OEDF;][OGNF;][OPDF;]
㖮	~[OAM;]
㖯	~[NEOF;]
㖰	~[OFNO;]
㖱	~[LOO;][LPUO;]
㖲	~[GOOF;]
㖳	~[WGOF;]
㖴	~[ORNM;]
㖵	~[OMEB;]
㖶	~[OCY;]
㖷	~[ODEZ;][OJN;]
㖸	~[OZE;]
㖹	~[OBDF;]
㖺	~[OFND;]
㖻	~[OMT;]
㖼	~[OGT;]
㖽	~[OTA;][OTMB;]
㖾	~[OOBE;]
㖿	~[ORB;]
㗀	~[OEWW;][OIWU;][OWIU;][OWWE;]
㗁	~[OOK;][OOOK;]
㗂	~[OSM;]
㗃	~[OOXD;]
㗄	~[OFF;]
㗅	~[OJOU;]
㗆	~[ORC;]
㗇	~[OOFU;][OOX;]
㗈	~[OTD;][OTND;][OTQD;]
㗉	~[FDPO;][HDPO;]
㗊	~[OOOO;]
㗋	~[OLFD;][ONLD;]
㗌	~[ONP;]
㗍	~[OHD;]
㗎	~[ODOT;]
㗏	~[OBEZ;]
㗐	~[ODAF;]
㗑	~[OHF;]
㗒	~[OLK;][OLOK;]
㗓	~[OPBW;]
㗔	~[OZW;]
㗕	~[OJE;][OJNY;]
㗖	~[OEG;]
㗗	~[ODPG;][ONPG;]
㗘	~[OAJA;][OIA;]
㗙	~[ONEE;]
㗚	~[OCT;]
㗛	~[OZED;][OZGN;][OZPD;]
㗜	~[OLWQ;]
㗝	~[OBKF;]
㗞	~[OLOP;]
㗟	~[WAKF;]
㗠	~[GUOF;]
㗡	~[RPRF;]
㗢	~[OGQD;]
㗣	~[OFNN;]
㗤	~[AQPO;]
㗥	~[OLHB;][OLOB;][OLZB;]
㗦	~[ORDP;]
㗧	~[ONBP;][ONRP;]
㗨	~[FVDO;]
㗩	~[OEED;]
㗪	~[OZFS;]
㗫	~[OJA;][OJRS;]
㗬	~[SNOC;]
㗭	~[OMH;]
㗮	~[COLB;][COLN;]
㗯	~[HOF;][YPAF;][YPDF;]
㗰	~[OMIZ;]
㗱	~[OVT;]
㗲	~[OEQE;]
㗳	~[OZAO;]
㗴	~[OMU;]
㗵	~[OFFI;]
㗶	~[OFX;][OJQU;]
㗷	~[ONJB;]
㗸	~[OMII;]
㗹	~[OVH;]
㗺	~[OEDS;][OGNS;][OPDS;]
㗻	~[OQOW;]
㗼	~[OFEL;][OFET;][OFS;]
㗽	~[WABO;][WADO;][WPDO;][XOO;]
㗾	~[ORCF;]
㗿	~[OMTO;]
㘀	~[OGM;]
㘁	~[OFY;][OFYG;]
㘂	~[OBEH;][ORWH;]
㘃	~[OROH;][ORXH;]
㘄	~[OTFF;]
㘅	~[OMII;][OMIT;]
㘆	~[OTE;][OYOP;]
㘇	~[OFFT;]
㘈	~[OFVZ;]
㘉	~[OZDP;][OZG;]
㘊	~[OUI;]
㘋	~[ORUB;]
㘌	~[OZER;][OZR;]
㘍	~[OSVQ;]
㘎	~[OMIP;][OMTP;][OMYP;]
㘏	~[BTMF;][HWOF;]
㘐	~[OMFX;]
㘑	~[OTRW;][OYRW;]
㘒	~[HGQF;]
㘓	~[OMCS;][OMJS;][OMN;]
㘔	~[ONJB;]
㘕	~[ORRF;]
㘖	~[OLLB;][OLLT;][OLPB;][OLPT;][OWLB;][OWLT;]
㘗	~[OMMV;]
㘘	~[ISSO;][LFO;][SISO;]
㘙	~[OOOP;][OOX;]
㘚	~[OMIP;][OMTP;]
㘛	~[OAOA;][OAOL;]
㘜	~[VIVO;]
㘝	~[OUX;]
㘞	~[ODX;][ODY;]
㘟	~[ORJ;]
㘠	~[OHP;]
㘡	~[OQI;]
㘢	~[OSER;]
㘣	~[OOU;]
㘤	~[OWH;]
㘥	~[ONBS;][OUUS;][OUWS;]
㘦	~[YDX;][YDY;]
㘧	~[YUI;]
㘨	~[YNB;]
㘩	~[YBL;]
㘪	~[YML;]
㘫	~[YJJ;]
㘬	~[YNU;]
㘭	~[YWY;]
㘮	~[YCN;]
㘯	~[YVD;]
㘰	~[YDJ;]
㘱	~[YNY;]
㘲	~[YCK;]
㘳	~[FFY;]
㘴	~[OBY;]
㘵	~[YXN;]
㘶	~[CSY;][CYE;]
㘷	~[YRX;]
㘸	~[DFY;][ECFY;]
㘹	~[ZFY;]
㘺	~[YPAQ;]
㘻	~[YOD;]
㘼	~[YYPK;]
㘽	~[JAQY;]
㘾	~[YNU;]
㘿	~[YDY;]
㙀	~[YNBK;][YNRK;]
㙁	~[YVOM;][YVOX;]
㙂	~[YBOR;]
㙃	~[YKEB;][YPOB;]
㙄	~[YBY;]
㙅	~[YOT;]
㙆	~[YNXU;]
㙇	~[YEQ;][YEQA;]
㙈	~[YZR;]
㙉	~[YFB;][YROB;]
㙊	~[YEK;]
㙋	~[YKB;]
㙌	~[YEH;][YERS;][YESR;]
㙍	~[YUUU;]
㙎	~[YAQG;]
㙏	~[YVDP;][YVX;]
㙐	~[YDI;][YER;][YETR;]
㙑	~[PCNY;]
㙒	~[QUY;]
㙓	~[YYYY;]
㙔	~[YWJ;][YWOS;]
㙕	~[YQU;]
㙖	~[YPCU;]
㙗	~[YQK;]
㙘	~[YCG;][YVX;]
㙙	~[WAKY;]
㙚	~[YBKS;]
㙛	~[YAJA;][YIA;]
㙜	~[LHNY;][LNOY;][LONY;][QYE;]
㙝	~[YDDU;]
㙞	~[YPMT;][YPT;]
㙟	~[YADU;][YAU;]
㙠	~[FVDY;]
㙡	~[YMIZ;]
㙢	~[YRNB;]
㙣	~[YQEK;]
㙤	~[YZH;]
㙥	~[YLBK;][YLOK;][YLRK;]
㙦	~[ATDY;][BHDY;]
㙧	~[YEDQ;][YERQ;][YOQ;]
㙨	~[YWB;][YWWB;]
㙩	~[YDBS;][YLA;]
㙪	~[YYND;]
㙫	~[YVT;]
㙬	~[LADY;]
㙭	~[YLBI;]
㙮	~[YZAO;]
㙯	~[YBYT;][YKAT;][YRYT;][YZT;]
㙰	~[NDSY;]
㙱	~[OKZY;][OYE;]
㙲	~[YLWV;]
㙳	~[YAQH;][YKH;]
㙴	~[YNLI;][YVO;]
㙵	~[YLHY;][YLNY;][YLOY;][YQY;]
㙶	~[LOSY;][LSNY;]
㙷	~[YDWF;]
㙸	~[YPFB;][YPFD;][YPV;]
㙹	~[YRFC;]
㙺	~[YFCB;][YFQ;]
㙻	~[YLQY;]
㙼	~[YQQQ;]
㙽	~[YDTD;][YJTB;]
㙾	~[YSNZ;]
㙿	~[YBK;][YBKK;][YBKR;][YBR;]
㚀	~[YZDQ;]
㚁	~[YRYR;][YYYR;]
㚂	~[YJCK;][YVNK;]
㚃	~[YNOE;][YNUE;][YNXE;]
㚄	~[YNQZ;]
㚅	~[PES;][PSE;]
㚆	~[LDP;]
㚇	~[XUBP;][XURP;]
㚈	~[CJJ;]
㚉	~[RCC;]
㚊	~[CCLH;]
㚋	~[CCN;][CCNO;]
㚌	~[CCQT;]
㚍	~[CCCB;][CCQ;]
㚎	~[DUI;]
㚏	~[DRJ;]
㚐	~[DDN;]
㚑	~[EDN;]
㚒	~[DBB;][GN;][JBBB;]
㚓	~[DTN;]
㚔	~[DBG;]
㚕	~[DVJ;]
㚖	~[PDD;]
㚗	~[DME;]
㚘	~[QNQN;]
㚙	~[DOD;]
㚚	~[DCO;]
㚛	~[DFD;]
㚜	~[DAQE;][DHE;]
㚝	~[DVE;]
㚞	~[DTT;]
㚟	~[NOBD;]
㚠	~[DBKF;]
㚡	~[DTOO;][VVO;]
㚢	~[PGX;]
㚣	~[GGX;]
㚤	~[GAX;]
㚥	~[GUJ;]
㚦	~[GER;]
㚧	~[GLP;]
㚨	~[GZJ;][GZX;]
㚩	~[GNR;][GUE;]
㚪	~[GML;]
㚫	~[GPU;][GRN;][GWB;]
㚬	~[GNB;][GNR;]
㚭	~[GAK;]
㚮	~[GNR;]
㚯	~[GRX;]
㚰	~[GBE;]
㚱	~[GKE;][GPO;]
㚲	~[GZO;]
㚳	~[GDO;]
㚴	~[GXN;]
㚵	~[GPB;]
㚶	~[GBO;]
㚷	~[GBS;]
㚸	~[GEO;][GYEO;]
㚹	~[GDP;]
㚺	~[GRZ;]
㚻	~[QGX;]
㚼	~[GQO;]
㚽	~[IKG;]
㚾	~[GOR;]
㚿	~[GNL;][GNOL;]
㛀	~[GNE;]
㛁	~[GPJ;]
㛂	~[GLC;][GLCL;]
㛃	~[FDG;][HDG;]
㛄	~[GLK;]
㛅	~[GRJ;]
㛆	~[GRT;]
㛇	~[GLY;]
㛈	~[GYPK;]
㛉	~[GCO;]
㛊	~[GRT;]
㛋	~[GBF;]
㛌	~[GUS;]
㛍	~[GGN;]
㛎	~[GOPO;]
㛏	~[GAJW;][GNA;]
㛐	~[GTQX;][GTX;]
㛑	~[ZCUG;]
㛒	~[GDE;]
㛓	~[GXXN;]
㛔	~[GPF;]
㛕	~[GOC;][GOCL;]
㛖	~[GHX;][GUBP;][GURP;]
㛗	~[GBBY;]
㛘	~[GJNZ;]
㛙	~[GLJ;]
㛚	~[GTJ;][GTNQ;]
㛛	~[GSX;]
㛜	~[PIPG;]
㛝	~[GMB;]
㛞	~[GKR;]
㛟	~[GNC;][GNCB;][GNND;][GNOB;]
㛠	~[GMD;]
㛡	~[GNRR;]
㛢	~[GHR;]
㛣	~[GOMB;][GONB;]
㛤	~[GENA;][GLA;]
㛥	~[GWD;]
㛦	~[GTT;]
㛧	~[GELO;]
㛨	~[GBKR;]
㛩	~[GTU;]
㛪	~[GDIL;][GDQL;][GXL;]
㛫	~[GDNM;][GEP;]
㛬	~[GYBY;][GYE;][GYRY;]
㛭	~[GRD;]
㛮	~[GNFU;]
㛯	~[GDCD;][GED;][GNCD;]
㛰	~[GOXD;]
㛱	~[GQK;]
㛲	~[GTA;][GTMB;]
㛳	~[LNNG;]
㛴	~[GSO;][GSPO;][GSPX;]
㛵	~[GENY;]
㛶	~[GELF;][GEXF;]
㛷	~[HAKG;]
㛸	~[GYD;]
㛹	~[GPT;][GPTX;]
㛺	~[GLD;]
㛻	~[GDYY;]
㛼	~[GGG;]
㛽	~[GNM;]
㛾	~[GAQO;][GKE;][GKO;]
㛿	~[GFNN;][GSNN;]
㜀	~[GTM;]
㜁	~[GTDE;][GTM;]
㜂	~[YYAG;]
㜃	~[GPI;]
㜄	~[GRC;]
㜅	~[GLWQ;]
㜆	~[GMW;]
㜇	~[GYYH;]
㜈	~[MPDG;]
㜉	~[GSOC;][GSOL;]
㜊	~[GCRK;]
㜋	~[GBEF;][GYE;]
㜌	~[YNEU;][YNGU;]
㜍	~[GLEO;]
㜎	~[GEWD;]
㜏	~[GOMB;]
㜐	~[GED;]
㜑	~[WAJG;][WIG;]
㜒	~[GGR;]
㜓	~[GRAO;][GRO;]
㜔	~[GLOR;]
㜕	~[GCW;]
㜖	~[GRFD;][GROD;]
㜗	~[GUM;][GUUM;]
㜘	~[GZDE;][GZM;]
㜙	~[GLB;]
㜚	~[GNPD;]
㜛	~[GCI;]
㜜	~[GFYP;][GHNP;][GYFP;]
㜝	~[GAYE;]
㜞	~[CKG;]
㜟	~[GIRP;][GTRP;][GYRP;]
㜠	~[GEV;]
㜡	~[GMIZ;]
㜢	~[GMG;]
㜣	~[GEAF;][GJF;][GNBF;][GUAF;]
㜤	~[GCDJ;][GXJ;]
㜥	~[GFMB;][GMA;]
㜦	~[GEIA;]
㜧	~[GLBI;]
㜨	~[GCWS;]
㜩	~[GPND;][GPOB;]
㜪	~[LGX;][LTKG;]
㜫	~[GMIP;]
㜬	~[GNLI;][GVO;]
㜭	~[GSNQ;][GSO;]
㜮	~[GRF;][GRVF;]
㜯	~[GFIF;][GROF;]
㜰	~[GPDT;][GRN;][GWPT;]
㜱	~[GKKB;]
㜲	~[GFOA;][GFUA;][GFUX;][GFUZ;]
㜳	~[GLFK;]
㜴	~[GRFM;]
㜵	~[GLMK;]
㜶	~[GNOA;]
㜷	~[QRG;]
㜸	~[RPBG;]
㜹	~[GMMV;]
㜺	~[GSRB;]
㜻	~[GISH;][GLFH;][GSIH;]
㜼	~[GQQM;]
㜽	~[SZJ;]
㜾	~[ZBR;]
㜿	~[ZUI;]
㝀	~[OMZ;][OXZ;]
㝁	~[NDZ;]
㝂	~[ZJK;]
㝃	~[ZDCR;][ZEL;][ZNCR;]
㝄	~[LHZE;][LOZE;][LZE;]
㝅	~[YNEU;][YNZU;]
㝆	~[ZYDO;][ZYOO;]
㝇	~[LHZZ;][LOZZ;][LZLZ;]
㝈	~[ISSZ;][LFZZ;][SISZ;]
㝉	~[NEE;]
㝊	~[NUX;]
㝋	~[NWI;]
㝌	~[NNN;]
㝍	~[NKE;]
㝎	~[NAZ;]
㝏	~[NBR;]
㝐	~[NBU;]
㝑	~[NFY;]
㝒	~[NJO;]
㝓	~[NAO;]
㝔	~[NLX;]
㝕	~[NHU;]
㝖	~[NCC;]
㝗	~[NADK;][NAN;]
㝘	~[NIO;]
㝙	~[NKEB;]
㝚	~[NPZW;]
㝛	~[NPEB;][NPEE;][NPEO;][NPTB;][NPTO;]
㝜	~[NRD;]
㝝	~[NTT;]
㝞	~[NOE;]
㝟	~[NEMR;]
㝠	~[NDL;]
㝡	~[NRU;]
㝢	~[NPCU;]
㝣	~[NFDD;][NHDD;]
㝤	~[NJE;][NJNY;]
㝥	~[NGM;]
㝦	~[NVR;]
㝧	~[NGBY;]
㝨	~[NYOK;]
㝩	~[NLEW;]
㝪	~[NYBA;][NYBX;][NYBZ;][NYKA;][NYZ;]
㝫	~[NBPS;]
㝬	~[NFOD;][NFON;][NHOD;][NHON;]
㝭	~[NHDS;]
㝮	~[NEEU;][NEUU;]
㝯	~[NGNO;][NGO;][NPDO;]
㝰	~[NPMF;][NPNF;]
㝱	~[NGRC;][NGT;]
㝲	~[NGRE;][NGRN;]
㝳	~[EFA;][JSA;]
㝴	~[RRA;]
㝵	~[DAA;][DEA;][DUA;]
㝶	~[FRA;]
㝷	~[EIKA;][EIRA;][EIZA;]
㝸	~[SPDR;]
㝹	~[SDCR;][SEL;][SNCR;]
㝺	~[BEES;][BEFS;][QSP;]
㝻	~[RCS;][RCSP;]
㝼	~[KUJ;]
㝽	~[KWN;]
㝾	~[KXI;]
㝿	~[KPX;]
㞀	~[KLF;][KXF;]
㞁	~[KDC;][KDF;]
㞂	~[KEG;]
㞃	~[BBOK;][WAK;]
